Calificación de 1 a 5,Letras,e-mail,Nombre de Usuario,Elección
4,"['A', 'B', 'C']",kenjiemura@gmail.com,primera_entrada,Pa'entro
4.5,"['A', 'B',]",kenjiemura@gmail.com,dos,Pal centro
5,"['A', 'B', 'C']",sinsentido@gmail.com,Pepito,Pa'entro
2.5,"['A', 'C']",kenjiemura@gmail.com,cuatro,Pa'bajo
4,"['A', 'B', 'C']",otravaina@gmail.com,shincoooo,Pa'entro
5,"['C']",sopranomassimo@gmail.com,Chiribiquete,Pa'entro
2.5,"['A', 'B', 'C']",otrosi@fafarra.com,Bobeand,Pa'entro
5,"['A', 'B', 'C']",ultimo@primero.com,Testinnnn,Pa'entro
5,"['A', 'B', 'C']",yakuza@3000.com,Meñiqueloco,Pa'rriba
5,"['A', 'B', 'C']",supadupa@lalo.ca,Otroman,Pa'entro
5,"['A', 'B', 'C']",another@day.inparadise,Phill,Pal centro
5,"['A', 'B', 'C']",otra@vez.aca,Haciendoregistros,Pa'bajo
5,"['A', 'B', 'C']",asdas@asdasd.asdasd,AAAAAA,Pa'entro
0,"['A', 'B', 'C']",kenjiemura@gmail.com,asdasd,Pal centro
5,"['A', 'B', 'C']",kenjiemura@gmail.com,asdasda,Pal centro
5,['A'],kenjiemura@gmail.com,asdasdasdas,Pa'rriba
4,"['B', 'C']",kenjiemura@gmail.com,asdasd,Pal centro
